true,mean,stdv,min,max
0,0.13301447142506745,0.3600000041378753,0.0,6.0
1,0.36786253968792976,0.4921947527817353,0.0,8.0
2,0.6337101532517035,0.6341489467728876,0.0,6.0
3,1.0638336238504538,0.8175833019372183,0.0,5.0
4,1.576519592718297,1.0428666207952841,0.0,10.0
5,2.2470543519574306,1.263620044331513,0.0,5.0
6,2.8478593272171255,1.4810003045761713,0.0,6.0
7,3.331645569620253,1.9424902877679633,0.0,7.0
8,3.9191176470588234,2.302829624823656,0.0,8.0
10,4.9147727272727275,3.085191905037528,1.0,10.0
9,5.349775784753363,2.3468567139873615,0.0,9.0
11,6.655737704918033,2.947952060688964,1.0,11.0
12,7.680412371134021,2.7746861374779,3.0,12.0
13,9.2,2.6345285613826124,1.0,12.0
14,10.73076923076923,2.3926168486858455,2.0,13.0
15,11.523809523809524,2.8393493553813984,4.0,14.0
27,12.0,,12.0,12.0
16,12.235294117647058,1.7149858514250884,9.0,15.0
57,14.0,,14.0,14.0
17,14.411764705882353,1.6977493752543305,10.0,16.0
22,14.5,7.7781745930520225,9.0,20.0
18,14.736842105263158,1.6945043609385506,11.0,17.0
19,14.8,2.3944379994757297,11.0,18.0
20,16.6,1.949358868961793,15.0,20.0
21,16.88888888888889,2.891558595482912,11.0,20.0
24,18.333333333333332,3.7771241264574114,12.0,22.0
23,18.6,5.504543577809154,9.0,22.0
25,21.0,,21.0,21.0
29,21.5,7.7781745930520225,16.0,27.0
56,22.0,,22.0,22.0
26,23.0,,23.0,23.0
28,26.0,,26.0,26.0
35,27.333333333333332,5.686240703077327,21.0,32.0
39,29.0,,29.0,29.0
33,33.0,0.0,33.0,33.0
36,36.0,,36.0,36.0
41,37.0,,37.0,37.0
45,38.0,,38.0,38.0
50,45.0,,45.0,45.0
80,74.0,,74.0,74.0
77,75.0,,75.0,75.0
